temperature,reasoning,trait,icc
0.1,cot,pred_extraversion,0.875
0.1,cot,pred_agreeableness,0.809
0.1,cot,pred_conscientiousness,0.682
0.1,cot,pred_neuroticism,0.983
0.1,cot,pred_openness,0.827
0.1,direct,pred_extraversion,0.771
0.1,direct,pred_agreeableness,0.829
0.1,direct,pred_conscientiousness,0.622
0.1,direct,pred_neuroticism,0.982
0.1,direct,pred_openness,0.81
0.1,think,pred_extraversion,0.711
0.1,think,pred_agreeableness,0.875
0.1,think,pred_conscientiousness,0.637
0.1,think,pred_neuroticism,0.987
0.1,think,pred_openness,0.846
0.3,cot,pred_extraversion,0.74
0.3,cot,pred_agreeableness,0.752
0.3,cot,pred_conscientiousness,0.513
0.3,cot,pred_neuroticism,0.98
0.3,cot,pred_openness,0.823
0.3,direct,pred_extraversion,0.771
0.3,direct,pred_agreeableness,0.744
0.3,direct,pred_conscientiousness,0.515
0.3,direct,pred_neuroticism,0.981
0.3,direct,pred_openness,0.803
0.3,think,pred_extraversion,0.7
0.3,think,pred_agreeableness,0.859
0.3,think,pred_conscientiousness,0.536
0.3,think,pred_neuroticism,0.985
0.3,think,pred_openness,0.839
0.5,cot,pred_extraversion,0.725
0.5,cot,pred_agreeableness,0.783
0.5,cot,pred_conscientiousness,0.448
0.5,cot,pred_neuroticism,0.977
0.5,cot,pred_openness,0.753
0.5,direct,pred_extraversion,0.665
0.5,direct,pred_agreeableness,0.697
0.5,direct,pred_conscientiousness,0.459
0.5,direct,pred_neuroticism,0.973
0.5,direct,pred_openness,0.792
0.5,think,pred_extraversion,0.612
0.5,think,pred_agreeableness,0.827
0.5,think,pred_conscientiousness,0.497
0.5,think,pred_neuroticism,0.981
0.5,think,pred_openness,0.778
0.7,cot,pred_extraversion,0.716
0.7,cot,pred_agreeableness,0.734
0.7,cot,pred_conscientiousness,0.528
0.7,cot,pred_neuroticism,0.97
0.7,cot,pred_openness,0.745
0.7,direct,pred_extraversion,0.61
0.7,direct,pred_agreeableness,0.714
0.7,direct,pred_conscientiousness,0.443
0.7,direct,pred_neuroticism,0.969
0.7,direct,pred_openness,0.773
0.7,think,pred_extraversion,0.522
0.7,think,pred_agreeableness,0.837
0.7,think,pred_conscientiousness,0.483
0.7,think,pred_neuroticism,0.984
0.7,think,pred_openness,0.737
0.9,cot,pred_extraversion,0.72
0.9,cot,pred_agreeableness,0.724
0.9,cot,pred_conscientiousness,0.429
0.9,cot,pred_neuroticism,0.977
0.9,cot,pred_openness,0.669
0.9,direct,pred_extraversion,0.491
0.9,direct,pred_agreeableness,0.593
0.9,direct,pred_conscientiousness,0.44
0.9,direct,pred_neuroticism,0.966
0.9,direct,pred_openness,0.768
0.9,think,pred_extraversion,0.464
0.9,think,pred_agreeableness,0.723
0.9,think,pred_conscientiousness,0.562
0.9,think,pred_neuroticism,0.979
0.9,think,pred_openness,0.728
