temperature,reasoning,trait,icc
0.1,cot,pred_extraversion,0.9064438667229695
0.1,cot,pred_agreeableness,0.8824434307005273
0.1,cot,pred_conscientiousness,0.9296596618514686
0.1,cot,pred_neuroticism,0.9635159786813964
0.1,cot,pred_openness,0.6378993895612456
0.1,direct,pred_extraversion,0.8108030819232164
0.1,direct,pred_agreeableness,0.8075799205218691
0.1,direct,pred_conscientiousness,0.8238480763236126
0.1,direct,pred_neuroticism,0.9973362588442133
0.1,direct,pred_openness,0.7684323401440519
0.1,think,pred_extraversion,0.6303103422179386
0.1,think,pred_agreeableness,0.8011683354582526
0.1,think,pred_conscientiousness,0.8606274974099287
0.1,think,pred_neuroticism,0.9774494271100359
0.1,think,pred_openness,0.7394237097034008
0.3,cot,pred_extraversion,0.8587773663986948
0.3,cot,pred_agreeableness,0.7659228248944664
0.3,cot,pred_conscientiousness,0.8516266392167775
0.3,cot,pred_neuroticism,0.9690237799386322
0.3,cot,pred_openness,0.6659303421577639
0.3,direct,pred_extraversion,0.691966155822102
0.3,direct,pred_agreeableness,0.8613373696206715
0.3,direct,pred_conscientiousness,0.7703095250081061
0.3,direct,pred_neuroticism,0.9976268194601067
0.3,direct,pred_openness,0.6467100324411369
0.3,think,pred_extraversion,0.8110054452506331
0.3,think,pred_agreeableness,0.8605434138015017
0.3,think,pred_conscientiousness,0.8974982868128445
0.3,think,pred_neuroticism,0.9892157888046357
0.3,think,pred_openness,0.8331084907580181
0.5,cot,pred_extraversion,0.40726833142957547
0.5,cot,pred_agreeableness,0.7916533483747402
0.5,cot,pred_conscientiousness,0.7688213464914736
0.5,cot,pred_neuroticism,0.9934516954416373
0.5,cot,pred_openness,0.5157417840731309
0.5,direct,pred_extraversion,0.7835064805669908
0.5,direct,pred_agreeableness,0.7374612125802278
0.5,direct,pred_conscientiousness,0.6857140638487829
0.5,direct,pred_neuroticism,0.9960553002553766
0.5,direct,pred_openness,0.6027713157414653
0.5,think,pred_extraversion,0.786160085237106
0.5,think,pred_agreeableness,0.790124086500494
0.5,think,pred_conscientiousness,0.8417030417487815
0.5,think,pred_neuroticism,0.9929920615043543
0.5,think,pred_openness,0.39747385483176806
0.7,cot,pred_extraversion,0.7560225753173674
0.7,cot,pred_agreeableness,0.6806195015792494
0.7,cot,pred_conscientiousness,0.847722669148143
0.7,cot,pred_neuroticism,0.9811195490017666
0.7,cot,pred_openness,0.4002496792060823
0.7,direct,pred_extraversion,0.6527677604780878
0.7,direct,pred_agreeableness,0.7662429922914024
0.7,direct,pred_conscientiousness,0.8120541390580318
0.7,direct,pred_neuroticism,0.995108951381941
0.7,direct,pred_openness,0.6592013809082969
0.7,think,pred_extraversion,0.6130156989226898
0.7,think,pred_agreeableness,0.7525624929610322
0.7,think,pred_conscientiousness,0.7802432675289356
0.7,think,pred_neuroticism,0.9929010939080858
0.7,think,pred_openness,0.665813529508061
0.9,cot,pred_extraversion,0.5833206617627251
0.9,cot,pred_agreeableness,0.6552875372199923
0.9,cot,pred_conscientiousness,0.7647472570103376
0.9,cot,pred_neuroticism,0.9181130966651873
0.9,cot,pred_openness,0.40517205813297935
0.9,direct,pred_extraversion,0.7979779474780768
0.9,direct,pred_agreeableness,0.7369692367382968
0.9,direct,pred_conscientiousness,0.5749720816528654
0.9,direct,pred_neuroticism,0.985594774489748
0.9,direct,pred_openness,0.36530881190014153
0.9,think,pred_extraversion,0.5712479239513385
0.9,think,pred_agreeableness,0.75167987208677
0.9,think,pred_conscientiousness,0.8835686071348723
0.9,think,pred_neuroticism,0.9958047778543629
0.9,think,pred_openness,0.32908613465031666
